Actor/Criterion,Total_cognitive_score,Avg_outcome_difference,Percentage_treated,Mean_outcome_treated,Mean_outcome_control,Cost_effectiveness,Accuracy,Mean_Regret,Demographic_Parity,Percent_A,Percent_C,Demographic_Parity Normalized,Demographic_Parity Rank,Total_cognitive_score Normalized,Total_cognitive_score Rank,Avg_outcome_difference Normalized,Avg_outcome_difference Rank,Percentage_treated Normalized,Percentage_treated Rank,Mean_outcome_treated Normalized,Mean_outcome_treated Rank,Mean_outcome_control Normalized,Mean_outcome_control Rank,Accuracy Normalized,Accuracy Rank,Mean_Regret Normalized,Mean_Regret Rank,Cost_effectiveness Normalized,Cost_effectiveness Rank,Weighted Normalized-Sum,Final Rank,config_id,best_criterion,weight_Demographic_Parity,weight_Total_cognitive_score,weight_Avg_outcome_difference,weight_Percentage_treated,weight_Mean_outcome_treated,weight_Mean_outcome_control,weight_Accuracy,weight_Mean_Regret,weight_Cost_effectiveness
Nash Bargaining,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.6378675091594986,5,4,Policy_Maker,0.3012766542161099,0.01581289537034086,0.15081532292989308,0.11567176794122676,0.19528866618741136,0.06162973467845278,0.04822253512005189,0.08407142214236664,0.027211001414146667
Nash Social Welfare,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.4457074342950781,6,4,Policy_Maker,0.3012766542161099,0.01581289537034086,0.15081532292989308,0.11567176794122676,0.19528866618741136,0.06162973467845278,0.04822253512005189,0.08407142214236664,0.027211001414146667
Proportional Fairness,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.4457074342950781,7,4,Policy_Maker,0.3012766542161099,0.01581289537034086,0.15081532292989308,0.11567176794122676,0.19528866618741136,0.06162973467845278,0.04822253512005189,0.08407142214236664,0.027211001414146667
Healthcare_Provider,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.439331519724397,8,4,Policy_Maker,0.3012766542161099,0.01581289537034086,0.15081532292989308,0.11567176794122676,0.19528866618741136,0.06162973467845278,0.04822253512005189,0.08407142214236664,0.027211001414146667
Kalai-Smorodinsky,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.439331519724397,9,4,Policy_Maker,0.3012766542161099,0.01581289537034086,0.15081532292989308,0.11567176794122676,0.19528866618741136,0.06162973467845278,0.04822253512005189,0.08407142214236664,0.027211001414146667
Maximin,788.1999999284743,3.4336507952402493,0.7,6.284761904761903,2.851111109521654,0.043675132298091,0.7,1.040666667143504,-0.217391304347826,0.7,0.3,0.3333333333333335,8.0,0.6186171512145723,8.0,0.10390089038742946,6.0,0.5794392523364484,8.0,0.5064888061630631,6.0,0.4598566305680087,5.0,0.7,8.0,0.6186171512145725,8.0,0.5064888061630676,6.0,0.41970052015613774,10,4,Policy_Maker,0.3012766542161099,0.01581289537034086,0.15081532292989308,0.11567176794122676,0.19528866618741136,0.06162973467845278,0.04822253512005189,0.08407142214236664,0.027211001414146667
Policy_Maker,942.6,0.0845637583892617,0.9933333333333332,6.284563758389262,6.2,0.0436729306717284,0.9933333333333332,0.0113333333333333,0.0072463768115942,0.9933333333333332,0.0066666666666666,0.9777777777777777,4.0,0.9958465673117353,2.0,0.9779309216000784,2.0,0.9906542056074764,2.0,0.5045094938630635,7.0,1.0,1.0,0.9933333333333332,2.0,0.995846567311735,2.0,0.5045094938631397,7.0,0.9458030706112169,1,5,Policy_Maker,0.08126731763927332,0.011556877031404834,0.17945690690434996,0.24835342842407437,0.06015893571075566,0.34462176285982865,0.011735639632166691,0.030459919220135762,0.03238921257801076
Compromise Programming,918.8999999046326,2.224285723822458,0.9333333333333332,6.274285714285715,4.049999990463257,0.0435587301816889,0.9333333333333332,0.1693333339691162,0.072463768115942,0.9333333333333332,0.0666666666666666,0.7777777777777778,7.0,0.9379428290129235,3.0,0.419515677189941,3.0,0.9065420560747661,3.0,0.401840649397663,8.0,0.6532258049134285,2.0,0.9333333333333332,3.0,0.9379428290129231,3.0,0.4018406493976562,8.0,0.6763037800252264,2,5,Policy_Maker,0.08126731763927332,0.011556877031404834,0.17945690690434996,0.24835342842407437,0.06015893571075566,0.34462176285982865,0.011735639632166691,0.030459919220135762,0.03238921257801076
Parent,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.6454194861819373,3,5,Policy_Maker,0.08126731763927332,0.011556877031404834,0.17945690690434996,0.24835342842407437,0.06015893571075566,0.34462176285982865,0.011735639632166691,0.030459919220135762,0.03238921257801076
Nash Bargaining,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.6454194861819373,4,5,Policy_Maker,0.08126731763927332,0.011556877031404834,0.17945690690434996,0.24835342842407437,0.06015893571075566,0.34462176285982865,0.011735639632166691,0.030459919220135762,0.03238921257801076
Outcome_Maxim,944.3,0.0,1.0,6.295333333333333,0.0,0.0437925926155514,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6120883098081804,5.0,0.0,10.0,1.0,1.0,1.0,1.0,0.6120883098082475,5.0,0.619477728513355,5,5,Policy_Maker,0.08126731763927332,0.011556877031404834,0.17945690690434996,0.24835342842407437,0.06015893571075566,0.34462176285982865,0.011735639632166691,0.030459919220135762,0.03238921257801076
Nash Social Welfare,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.45664339889396416,6,5,Policy_Maker,0.08126731763927332,0.011556877031404834,0.17945690690434996,0.24835342842407437,0.06015893571075566,0.34462176285982865,0.011735639632166691,0.030459919220135762,0.03238921257801076
Proportional Fairness,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.45664339889396416,7,5,Policy_Maker,0.08126731763927332,0.011556877031404834,0.17945690690434996,0.24835342842407437,0.06015893571075566,0.34462176285982865,0.011735639632166691,0.030459919220135762,0.03238921257801076
Maximin,788.1999999284743,3.4336507952402493,0.7,6.284761904761903,2.851111109521654,0.043675132298091,0.7,1.040666667143504,-0.217391304347826,0.7,0.3,0.3333333333333335,8.0,0.6186171512145723,8.0,0.10390089038742946,6.0,0.5794392523364484,8.0,0.5064888061630631,6.0,0.4598566305680087,5.0,0.7,8.0,0.6186171512145725,8.0,0.5064888061630676,6.0,0.42919902554584854,8,5,Policy_Maker,0.08126731763927332,0.011556877031404834,0.17945690690434996,0.24835342842407437,0.06015893571075566,0.34462176285982865,0.011735639632166691,0.030459919220135762,0.03238921257801076
Healthcare_Provider,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.2701459781322756,9,5,Policy_Maker,0.08126731763927332,0.011556877031404834,0.17945690690434996,0.24835342842407437,0.06015893571075566,0.34462176285982865,0.011735639632166691,0.030459919220135762,0.03238921257801076
Kalai-Smorodinsky,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.2701459781322756,10,5,Policy_Maker,0.08126731763927332,0.011556877031404834,0.17945690690434996,0.24835342842407437,0.06015893571075566,0.34462176285982865,0.011735639632166691,0.030459919220135762,0.03238921257801076
Policy_Maker,942.6,0.0845637583892617,0.9933333333333332,6.284563758389262,6.2,0.0436729306717284,0.9933333333333332,0.0113333333333333,0.0072463768115942,0.9933333333333332,0.0066666666666666,0.9777777777777777,4.0,0.9958465673117353,2.0,0.9779309216000784,2.0,0.9906542056074764,2.0,0.5045094938630635,7.0,1.0,1.0,0.9933333333333332,2.0,0.995846567311735,2.0,0.5045094938631397,7.0,0.8054015586977369,1,6,Policy_Maker,0.12648874509539174,0.15501298987032427,0.08878281409057028,0.020633279207096258,0.3309817607322652,0.08240850597164444,0.018813680147792562,0.127760908418322,0.0491173164665931
Outcome_Maxim,944.3,0.0,1.0,6.295333333333333,0.0,0.0437925926155514,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6120883098081804,5.0,0.0,10.0,1.0,1.0,1.0,1.0,0.6120883098082475,5.0,0.7701466185517989,2,6,Policy_Maker,0.12648874509539174,0.15501298987032427,0.08878281409057028,0.020633279207096258,0.3309817607322652,0.08240850597164444,0.018813680147792562,0.127760908418322,0.0491173164665931
Nash Social Welfare,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.6539340648532486,3,6,Policy_Maker,0.12648874509539174,0.15501298987032427,0.08878281409057028,0.020633279207096258,0.3309817607322652,0.08240850597164444,0.018813680147792562,0.127760908418322,0.0491173164665931
Proportional Fairness,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.6539340648532486,4,6,Policy_Maker,0.12648874509539174,0.15501298987032427,0.08878281409057028,0.020633279207096258,0.3309817607322652,0.08240850597164444,0.018813680147792562,0.127760908418322,0.0491173164665931
Compromise Programming,918.8999999046326,2.224285723822458,0.9333333333333332,6.274285714285715,4.049999990463257,0.0435587301816889,0.9333333333333332,0.1693333339691162,0.072463768115942,0.9333333333333332,0.0666666666666666,0.7777777777777778,7.0,0.9379428290129235,3.0,0.419515677189941,3.0,0.9065420560747661,3.0,0.401840649397663,8.0,0.6532258049134285,2.0,0.9333333333333332,3.0,0.9379428290129231,3.0,0.4018406493976562,8.0,0.6436866604047475,5,6,Policy_Maker,0.12648874509539174,0.15501298987032427,0.08878281409057028,0.020633279207096258,0.3309817607322652,0.08240850597164444,0.018813680147792562,0.127760908418322,0.0491173164665931
Parent,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.5080539380656447,6,6,Policy_Maker,0.12648874509539174,0.15501298987032427,0.08878281409057028,0.020633279207096258,0.3309817607322652,0.08240850597164444,0.018813680147792562,0.127760908418322,0.0491173164665931
Nash Bargaining,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.5080539380656447,7,6,Policy_Maker,0.12648874509539174,0.15501298987032427,0.08878281409057028,0.020633279207096258,0.3309817607322652,0.08240850597164444,0.018813680147792562,0.127760908418322,0.0491173164665931
Maximin,788.1999999284743,3.4336507952402493,0.7,6.284761904761903,2.851111109521654,0.043675132298091,0.7,1.040666667143504,-0.217391304347826,0.7,0.3,0.3333333333333335,8.0,0.6186171512145723,8.0,0.10390089038742946,6.0,0.5794392523364484,8.0,0.5064888061630631,6.0,0.4598566305680087,5.0,0.7,8.0,0.6186171512145725,8.0,0.5064888061630676,6.0,0.48185364556493065,8,6,Policy_Maker,0.12648874509539174,0.15501298987032427,0.08878281409057028,0.020633279207096258,0.3309817607322652,0.08240850597164444,0.018813680147792562,0.127760908418322,0.0491173164665931
Healthcare_Provider,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.39538575560916334,9,6,Policy_Maker,0.12648874509539174,0.15501298987032427,0.08878281409057028,0.020633279207096258,0.3309817607322652,0.08240850597164444,0.018813680147792562,0.127760908418322,0.0491173164665931
Kalai-Smorodinsky,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.39538575560916334,10,6,Policy_Maker,0.12648874509539174,0.15501298987032427,0.08878281409057028,0.020633279207096258,0.3309817607322652,0.08240850597164444,0.018813680147792562,0.127760908418322,0.0491173164665931
Policy_Maker,942.6,0.0845637583892617,0.9933333333333332,6.284563758389262,6.2,0.0436729306717284,0.9933333333333332,0.0113333333333333,0.0072463768115942,0.9933333333333332,0.0066666666666666,0.9777777777777777,4.0,0.9958465673117353,2.0,0.9779309216000784,2.0,0.9906542056074764,2.0,0.5045094938630635,7.0,1.0,1.0,0.9933333333333332,2.0,0.995846567311735,2.0,0.5045094938631397,7.0,0.8226223658002159,1,7,Policy_Maker,0.03814961947022393,0.023102348962234457,0.04725260158213565,0.09151245100762406,0.008881093690498117,0.10846513101298252,0.2641716268468979,0.07931684535089772,0.33914828207650555
Outcome_Maxim,944.3,0.0,1.0,6.295333333333333,0.0,0.0437925926155514,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6120883098081804,5.0,0.0,10.0,1.0,1.0,1.0,1.0,0.6120883098082475,5.0,0.756530205596858,2,7,Policy_Maker,0.03814961947022393,0.023102348962234457,0.04725260158213565,0.09151245100762406,0.008881093690498117,0.10846513101298252,0.2641716268468979,0.07931684535089772,0.33914828207650555
Nash Social Welfare,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.7462619334288547,3,7,Policy_Maker,0.03814961947022393,0.023102348962234457,0.04725260158213565,0.09151245100762406,0.008881093690498117,0.10846513101298252,0.2641716268468979,0.07931684535089772,0.33914828207650555
Proportional Fairness,836.8999997377394,3.77416667540868,0.8,6.334166666666666,2.559999991257986,0.0442240740970328,0.8,0.716000001748403,-0.3260869565217391,0.8,0.2,0.0,9.0,0.7376007812888641,6.0,0.015034550965012668,7.0,0.7196261682242991,6.0,1.0,1.0,0.41290322439644933,6.0,0.8,6.0,0.7376007812888643,6.0,1.0,1.0,0.7462619334288547,4,7,Policy_Maker,0.03814961947022393,0.023102348962234457,0.04725260158213565,0.09151245100762406,0.008881093690498117,0.10846513101298252,0.2641716268468979,0.07931684535089772,0.33914828207650555
Compromise Programming,918.8999999046326,2.224285723822458,0.9333333333333332,6.274285714285715,4.049999990463257,0.0435587301816889,0.9333333333333332,0.1693333339691162,0.072463768115942,0.9333333333333332,0.0666666666666666,0.7777777777777778,7.0,0.9379428290129235,3.0,0.419515677189941,3.0,0.9065420560747661,3.0,0.401840649397663,8.0,0.6532258049134285,2.0,0.9333333333333332,3.0,0.9379428290129231,3.0,0.4018406493976562,8.0,0.6857831256942857,5,7,Policy_Maker,0.03814961947022393,0.023102348962234457,0.04725260158213565,0.09151245100762406,0.008881093690498117,0.10846513101298252,0.2641716268468979,0.07931684535089772,0.33914828207650555
Maximin,788.1999999284743,3.4336507952402493,0.7,6.284761904761903,2.851111109521654,0.043675132298091,0.7,1.040666667143504,-0.217391304347826,0.7,0.3,0.3333333333333335,8.0,0.6186171512145723,8.0,0.10390089038742946,6.0,0.5794392523364484,8.0,0.5064888061630631,6.0,0.4598566305680087,5.0,0.7,8.0,0.6186171512145725,8.0,0.5064888061630676,6.0,0.5450818351244131,6,7,Policy_Maker,0.03814961947022393,0.023102348962234457,0.04725260158213565,0.09151245100762406,0.008881093690498117,0.10846513101298252,0.2641716268468979,0.07931684535089772,0.33914828207650555
Parent,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.5445569663838412,7,7,Policy_Maker,0.03814961947022393,0.023102348962234457,0.04725260158213565,0.09151245100762406,0.008881093690498117,0.10846513101298252,0.2641716268468979,0.07931684535089772,0.33914828207650555
Nash Bargaining,908.0999999046326,2.2507246456284453,0.92,6.234057971014493,3.983333325386048,0.0431117552564531,0.92,0.2413333339691162,-0.0036231884057971,0.92,0.08,0.9888888888888889,2.0,0.9115563154639463,4.0,0.41261576345313833,4.0,0.8878504672897195,4.0,0.0,9.0,0.6424731169977497,3.0,0.92,4.0,0.9115563154639462,4.0,0.0,9.0,0.5445569663838412,8,7,Policy_Maker,0.03814961947022393,0.023102348962234457,0.04725260158213565,0.09151245100762406,0.008881093690498117,0.10846513101298252,0.2641716268468979,0.07931684535089772,0.33914828207650555
Healthcare_Provider,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.380372926503758,9,7,Policy_Maker,0.03814961947022393,0.023102348962234457,0.04725260158213565,0.09151245100762406,0.008881093690498117,0.10846513101298252,0.2641716268468979,0.07931684535089772,0.33914828207650555
Kalai-Smorodinsky,534.999999833107,3.831775702494328,0.2866666666666667,6.300000000000001,2.4682242975056727,0.0438444444674032,0.2866666666666667,2.728666667779287,0.0507246376811594,0.2866666666666667,0.7133333333333334,0.8444444444444444,5.0,0.0,9.0,0.0,9.0,0.0,9.0,0.6587043069127899,3.0,0.3981006931460762,8.0,0.2866666666666667,9.0,0.0,9.0,0.6587043069128006,3.0,0.380372926503758,10,7,Policy_Maker,0.03814961947022393,0.023102348962234457,0.04725260158213565,0.09151245100762406,0.008881093690498117,0.10846513101298252,0.2641716268468979,0.07931684535089772,0.33914828207650555
